ut,n_cits,depth,dependence,pub_year
000300517500001,186,1.037634409,0.623655914,2012
000325126100061,186,1.693548387,2.241935484,2013
000189300600001,185,1.643243243,0.8,2003
000274111600005,182,2.593406593,2.857142857,2010
000233351600024,180,2.722222222,0.183333333,2005
000169909700018,177,1.107344633,0.214689266,2001
000224361500001,176,2.147727273,0.744318182,2004
000253831700003,176,1.6875,3.204545455,2007
000285626000004,176,3.340909091,2.681818182,2011
000242813600015,173,0.936416185,3.416184971,2007
000177946600005,172,5.191860465,1.302325581,2002
000326042600040,171,1.356725146,1.485380117,2013
000227040500007,169,0.976331361,0.461538462,2005
000170642700003,168,1.797619048,1.958333333,2001
000229492000002,168,1.595238095,0.19047619,2005
000284231100002,168,1.636904762,1.398809524,2010
000276952500026,167,1.22754491,1.065868263,2010
000240477000009,166,3.421686747,2.078313253,2006
000278543600017,166,1.307228916,1.355421687,2010
000238519600012,165,3.987878788,0.412121212,2006
000255195700001,165,2.375757576,0.515151515,2008
000281616200017,165,1.363636364,1.345454545,2010
000232418400010,164,5.762195122,0.420731707,2005
000286496200011,164,0.231707317,0.097560976,2011
000323384600002,163,0.73006135,3.45398773,2013
000186758900001,161,1.173913043,0.118012422,2003
000180326300005,160,2.23125,0.94375,2003
000181012900006,160,2.29375,0.11875,2003
000235904000005,157,1.063694268,0.464968153,2006
000176002200008,156,1.012820513,1.833333333,2002
000220004200008,156,1.935897436,1.179487179,2004
000227847200005,156,1.083333333,0.737179487,2004
000229492000007,156,1.884615385,1.788461538,2005
000247578600006,155,1.84516129,1.206451613,2007
000281011400011,155,1.774193548,3.438709677,2010
000165569100007,154,2.331168831,0.181818182,2000
000182091900009,154,1.681818182,1.038961039,2003
000253974300003,154,2.857142857,1.201298701,2007
000344977700002,153,1.130718954,4.052287582,2014
000180350600009,152,1.526315789,0.006578947,2003
000262055800010,152,1.039473684,0.940789474,2009
000179389900001,151,1.291390728,1.900662252,2002
000228944400006,151,1.741721854,1.291390728,2005
000086051800005,150,2.6,1.686666667,2000
000278177700010,150,1.086666667,2.5,2010
000279135400019,150,1.64,0.48,2010
000279151600007,150,1.313333333,2.14,2010
000294789900006,148,1.52027027,2.513513514,2011
000252767300002,147,1.523809524,0.925170068,2008
000258089300003,147,1,1.12244898,2008
000176002200015,146,0.726027397,0.630136986,2002
000248080300006,145,2.275862069,3.393103448,2007
000311853600006,145,1.765517241,1.137931034,2012
000087379900008,144,1.993055556,1.409722222,2000
000248943100001,144,2.9375,0.298611111,2007
000291953800014,144,1.486111111,3.541666667,2011
000277039700003,142,1.330985915,1.38028169,2010
000239300600002,141,1.482269504,0.773049645,2006
000241688800005,141,1.489361702,2.04964539,2006
000265836700005,141,1.517730496,2.418439716,2009
000187010200028,140,0.957142857,2.378571429,2003
000228341500005,140,1.707142857,0.864285714,2005
000238394500001,140,0.735714286,2.157142857,2006
000176374100010,139,1.863309353,0.45323741,2002
000296416900001,139,1.028776978,1.09352518,2011
000306547000002,139,1.129496403,2.676258993,2012
000272309700010,138,2.52173913,2.289855072,2009
000173833900015,137,1.145985401,0,2002
000253644900005,137,3.722627737,1.02189781,2007
000291663300032,136,1.066176471,0.323529412,2011
000177819400001,135,1.748148148,0.703703704,2002
000361943000001,135,1.355555556,1.777777778,2015
000171931500007,134,2.440298507,0.902985075,2001
000166184100009,133,1.669172932,0.330827068,2000
000258561100034,132,1.833333333,2.462121212,2008
000167284400001,130,2.830769231,1.007692308,2001
000253722200001,130,0.730769231,4.646153846,2008
000166504800009,128,1.84375,0.5859375,2000
000184172700004,128,0.8125,0.25,2003
000262424900006,128,1.1953125,1.5703125,2009
000305105700009,128,0.9375,3.96875,2012
000168671600005,127,1.661417323,0.086614173,2001
000257713900047,127,0.622047244,0.023622047,2008
000259093200009,127,2.157480315,0.118110236,2008
000174407200003,126,0.642857143,0.30952381,2002
000253831700007,126,1.96031746,1.595238095,2007
000311853600003,126,2.047619048,2.365079365,2012
000208907300003,125,2.328,2.176,2003
000171745700019,124,0.475806452,0.588709677,2001
000229811200006,124,3.169354839,0,2005
000254039100005,124,1.653225806,3.064516129,2008
000089070100018,122,1.098360656,1.5,2000
000178776600005,122,2.737704918,0.139344262,2002
000247139300009,122,4.12295082,1.204918033,2007
000294789800003,122,1.426229508,8.049180328,2010
000368075800012,122,0.442622951,0.62295082,2016
000291032500003,121,1.214876033,4.669421488,2011
000377413800004,121,0.685950413,7.884297521,2016
000181238300009,120,1.791666667,2.133333333,2003
000252161000010,120,1.7,1.925,2008
000167664900001,119,1.739495798,0.361344538,2001
000238005200007,119,2.487394958,0.487394958,2006
